state,date,critical_staffing_shortage_today_yes,inpatient_beds_used,inpatient_beds,inpatient_beds_utilization,inpatient_beds_used_covid,inpatients_with_covid,inpatient_with_no_beds (error),percent_of_inpatients_with_covid,inpatient_bed_covid_utilization,deaths_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator
WA,2/28/2020,0,233,317,0.735015773,0,0,0,0,0,0,233,317
WA,2/29/2020,0,213,317,0.67192429,0,0,0,0,0,0,213,317
WA,3/1/2020,0,191,317,0.602523659,0,0,0,0,0,0,191,317
WA,3/2/2020,0,202,317,0.637223975,2,2,0,0.00990099,0.006309148,0,202,317
WA,3/3/2020,0,206,317,0.649842271,2,2,0,0.009708738,0.006309148,0,206,317
WA,3/4/2020,0,219,317,0.690851735,3,3,0,0.01369863,0.009463722,0,219,317
WA,3/5/2020,0,247,317,0.779179811,2,2,0,0.008097166,0.006309148,0,247,317
WA,3/6/2020,0,220,360,0.611111111,6,5,1,0.022727273,0.016666667,0,220,317
WA,3/7/2020,0,193,360,0.536111111,7,7,0,0.03626943,0.019444444,0,193,317
WA,3/8/2020,0,187,360,0.519444444,8,8,0,0.042780749,0.022222222,1,187,317
WA,3/9/2020,0,205,360,0.569444444,12,9,3,0.043902439,0.033333333,1,205,317
WA,3/10/2020,0,239,360,0.663888889,14,13,1,0.054393305,0.038888889,0,239,317
WA,3/11/2020,0,227,370,0.613513514,17,16,1,0.070484581,0.045945946,0,227,327
WA,3/12/2020,0,254,403,0.630272953,19,17,2,0.066929134,0.047146402,0,254,360
WA,3/13/2020,0,247,402,0.614427861,19,17,2,0.068825911,0.047263682,1,247,359
WA,3/14/2020,0,238,517,0.460348162,21,18,3,0.075630252,0.040618956,1,238,359
WA,3/15/2020,0,225,516,0.436046512,25,21,4,0.093333333,0.048449612,0,225,358
WA,3/16/2020,0,225,554,0.406137184,33,25,8,0.111111111,0.059566787,1,225,360
WA,3/17/2020,0,227,561,0.404634581,35,27,8,0.118942731,0.062388592,1,227,367
WA,3/18/2020,0,250,561,0.445632799,34,27,7,0.108,0.060606061,1,250,367
WA,3/19/2020,0,261,445,0.586516854,38,30,8,0.114942529,0.085393258,0,261,366
WA,3/20/2020,0,255,443,0.575620767,39,30,9,0.117647059,0.088036117,1,255,364
WA,3/21/2020,0,240,403,0.595533499,35,30,5,0.125,0.086848635,0,240,360
WA,3/22/2020,0,230,401,0.573566085,39,34,5,0.147826087,0.097256858,0,230,358
WA,3/23/2020,0,230,401,0.573566085,44,37,7,0.160869565,0.109725686,1,230,358
WA,3/24/2020,0,261,447,0.583892617,47,41,6,0.157088123,0.105145414,0,261,404
WA,3/25/2020,0,270,448,0.602678571,46,43,3,0.159259259,0.102678571,0,270,405
WA,3/26/2020,0,264,449,0.587973274,45,44,1,0.166666667,0.100222717,1,264,406
